"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","32.295719844358","","","","","","","","","","","","42.5762991476492","","","","","","","","","53.4177215189873","","","","","","","","","","69.0829813326066","","","","","","","","","78.2020905923345","","","","","","","80.7305812058664","","","86.3609982588508","84.4827586206897","","","","","","","","","",
"Africa Eastern and Southern","AFE","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","","","","","","","","","","","","","","","","","","","","7.05724323207274","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.3764017552413","","","","20.7787151200519","","33.445770627919","","","28.9365773646802","","","24.6858168761221",
"Africa Western and Central","AFW","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","8.51063829787234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.1681213911642","","","","","82.4915368991199","95.7357965329622","93.6960600375234","","","72.9027176053564","","","","","","",
"Albania","ALB","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","68.4944413039382","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.876731580004","89.0508074044899","88.8445420075833","89.7785003048161","75.1697181649866","","67.5103734439834","65.3486394557823","58.6021505376344","59.6752368064953","60.2777777777778","65.3392330383481","","69.2329305984827","63.3628731343284","64.4155844155844","65.311004784689","65.7122232916266","60.0948952879581","74.3043124491456","71.2982998454405","73.2530873847116","77.7169084986675","74.8161764705882","71.2617580278949","69.4347963372277","73.3281371784879","76.661014336365","74.5189416716777","76.1198457431029","77.8301192403945","",
"Andorra","AND","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.9180492945893","31.4973523948689","29.8021307521525","","","29.2969472655818","","27.6496737694759","","32.9419616818105","","","","",
"United Arab Emirates","ARE","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","","","","","","","","","","","","","","","","10.8777194298575","","","","","16.8279970215934","","","","","","","","","","","","","","","33.9657415437988","","","","","","","","","","40.7443365695793","","","46.7942262504196","47.3068705723603","","","","","","","54.9345633984124","56.7363655960336","54.0178571428571","62.4673913043478","",
"Argentina","ARG","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","27.5596156127655","","","","","","","","","","32.6835286859963","","","","","","","37.1271284086545","37.8249678249678","38.4884172382555","35.8208955223881","","","34.6565455450473","","35.2084379708689","","35.4420827568859","","36.9049130379586","36.997966446365","52.7437400106553","52.4590163934426","56.3150074294205","54.3574593796159","54.2530847991599","58.3224115334207","58.5526315789474","59.6330275229358","61.4980289093298","60.1445323152441","59.504132231405","63.245492371706","66.8076398362892","66.963929189405","65.7978723404255","66.7377114692953","65.2870493991989","65.4324324324324","66.4727371127046","65.046703668607","64.8125755743652","65.5911062906725","65.3940550859013","65.8523119392685","","","67.6959954878737","69.7366568089002","70.43831396163","70.5182333686835",
